"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2021","2.570","2.520","2.585","2.485","39.05K","2.07%"
"Mar 26, 2021","2.557","2.570","2.587","2.546","35.20K","-0.51%"
"Mar 29, 2021","2.586","2.563","2.607","2.530","6.54K","1.13%"
"Mar 30, 2021","2.623","2.643","2.688","2.597","100.81K","1.43%"
"Mar 31, 2021","2.608","2.621","2.656","2.575","92.08K","-0.57%"
"Apr 01, 2021","2.639","2.605","2.663","2.578","116.69K","1.19%"
"Apr 05, 2021","2.511","2.593","2.616","2.488","146.89K","-4.85%"
"Apr 06, 2021","2.456","2.511","2.568","2.453","142.68K","-2.19%"
"Apr 07, 2021","2.520","2.464","2.546","2.458","132.27K","2.61%"
"Apr 08, 2021","2.522","2.510","2.535","2.478","140.80K","0.08%"
"Apr 09, 2021","2.526","2.520","2.552","2.503","121.59K","0.16%"
"Apr 12, 2021","2.561","2.530","2.605","2.530","144.32K","1.39%"
"Apr 13, 2021","2.619","2.554","2.638","2.529","166.00K","2.26%"
"Apr 14, 2021","2.618","2.620","2.666","2.609","129.02K","-0.04%"
"Apr 15, 2021","2.658","2.617","2.685","2.583","135.59K","1.53%"
"Apr 16, 2021","2.680","2.663","2.700","2.658","94.88K","0.83%"
"Apr 19, 2021","2.749","2.707","2.753","2.694","105.07K","2.57%"
"Apr 20, 2021","2.727","2.741","2.759","2.719","96.68K","-0.80%"
"Apr 21, 2021","2.692","2.724","2.725","2.666","99.73K","-1.28%"
"Apr 22, 2021","2.749","2.696","2.779","2.657","126.33K","2.12%"
"Apr 23, 2021","2.730","2.747","2.764","2.720","50.60K","-0.69%"
"Apr 26, 2021","2.790","2.710","2.800","2.700","34.31K","2.20%"
"Apr 27, 2021","2.873","2.786","2.876","2.783","41.28K","2.97%"
"Apr 28, 2021","2.925","2.873","2.936","2.868","3.25K","1.81%"
"Apr 29, 2021","2.911","2.951","2.971","2.883","123.11K","-0.48%"
"Apr 30, 2021","2.931","2.906","2.962","2.891","101.57K","0.69%"
"May 03, 2021","2.966","2.938","2.975","2.900","101.04K","1.19%"
"May 04, 2021","2.967","2.961","3.001","2.932","102.05K","0.03%"
"May 05, 2021","2.938","2.975","2.991","2.913","90.21K","-0.98%"
"May 06, 2021","2.928","2.948","2.971","2.908","83.81K","-0.34%"
"May 07, 2021","2.958","2.930","2.989","2.905","102.87K","1.02%"
"May 10, 2021","2.932","2.970","2.971","2.898","92.28K","-0.88%"
"May 11, 2021","2.955","2.927","2.970","2.881","107.22K","0.78%"
"May 12, 2021","2.969","2.953","2.988","2.926","90.58K","0.47%"
"May 13, 2021","2.973","2.983","2.998","2.937","96.12K","0.13%"
"May 14, 2021","2.961","2.977","3.016","2.945","84.20K","-0.40%"
"May 17, 2021","3.109","3.019","3.150","3.019","169.01K","5.00%"
"May 18, 2021","3.012","3.121","3.135","3.003","129.18K","-3.12%"
"May 19, 2021","2.964","3.009","3.015","2.940","100.25K","-1.59%"
"May 20, 2021","2.925","2.962","2.985","2.907","85.09K","-1.32%"
"May 21, 2021","2.906","2.948","2.983","2.894","58.27K","-0.65%"
"May 24, 2021","2.886","2.850","2.894","2.832","43.51K","-0.69%"
"May 25, 2021","2.913","2.886","2.940","2.873","38.34K","0.94%"
"May 26, 2021","2.984","2.946","3.028","2.925","5.09K","2.44%"
"May 27, 2021","2.958","3.021","3.024","2.914","123.07K","-0.87%"
"May 28, 2021","2.986","2.963","3.042","2.955","110.00K","0.95%"
"May 30, 2021","3.037","3.033","3.046","3.030","-","1.71%"
"May 31, 2021","3.055","3.037","3.059","3.015","-","0.59%"
"Jun 01, 2021","3.104","3.036","3.150","3.015","193.40K","1.60%"
"Jun 02, 2021","3.075","3.093","3.126","3.050","114.98K","-0.93%"
"Jun 03, 2021","3.041","3.073","3.090","3.032","100.52K","-1.11%"
"Jun 04, 2021","3.097","3.063","3.121","3.010","118.04K","1.84%"
"Jun 07, 2021","3.070","3.109","3.115","3.033","138.84K","-0.87%"
"Jun 08, 2021","3.128","3.092","3.198","3.092","208.58K","1.89%"
"Jun 09, 2021","3.129","3.128","3.168","3.106","131.72K","0.03%"
"Jun 10, 2021","3.149","3.154","3.200","3.131","151.57K","0.64%"
"Jun 11, 2021","3.296","3.153","3.330","3.149","194.49K","4.67%"
"Jun 14, 2021","3.352","3.315","3.364","3.273","113.12K","1.70%"
"Jun 15, 2021","3.240","3.351","3.369","3.213","154.41K","-3.34%"
"Jun 16, 2021","3.251","3.222","3.274","3.187","111.29K","0.34%"
"Jun 17, 2021","3.253","3.244","3.264","3.187","150.05K","0.06%"
"Jun 18, 2021","3.215","3.218","3.258","3.166","104.94K","-1.17%"
"Jun 21, 2021","3.191","3.206","3.214","3.137","103.04K","-0.75%"
"Jun 22, 2021","3.258","3.198","3.281","3.188","77.09K","2.10%"
"Jun 23, 2021","3.333","3.257","3.383","3.250","75.39K","2.30%"
"Jun 24, 2021","3.418","3.316","3.442","3.301","49.40K","2.55%"
"Jun 25, 2021","3.496","3.425","3.511","3.415","39.08K","2.28%"
"Jun 28, 2021","3.617","3.502","3.631","3.485","6.84K","3.46%"
"Jun 29, 2021","3.630","3.583","3.811","3.571","205.48K","0.36%"
"Jun 30, 2021","3.650","3.651","3.814","3.604","187.01K","0.55%"
"Jul 01, 2021","3.661","3.746","3.764","3.591","149.42K","0.30%"
"Jul 02, 2021","3.700","3.663","3.741","3.598","111.46K","1.07%"
"Jul 04, 2021","3.719","3.701","3.724","3.686","-","0.51%"
"Jul 05, 2021","3.790","3.718","3.797","3.708","-","1.91%"
"Jul 06, 2021","3.637","3.704","3.822","3.608","152.23K","-4.04%"
"Jul 07, 2021","3.596","3.673","3.707","3.520","124.62K","-1.13%"
"Jul 08, 2021","3.688","3.579","3.720","3.540","148.55K","2.56%"
"Jul 09, 2021","3.674","3.686","3.742","3.657","115.68K","-0.38%"
"Jul 12, 2021","3.749","3.673","3.763","3.623","127.07K","2.04%"
"Jul 13, 2021","3.696","3.744","3.769","3.673","104.04K","-1.41%"
"Jul 14, 2021","3.660","3.694","3.755","3.624","137.35K","-0.97%"
"Jul 15, 2021","3.614","3.670","3.686","3.605","117.59K","-1.26%"
"Jul 16, 2021","3.674","3.617","3.688","3.584","89.98K","1.66%"
"Jul 19, 2021","3.779","3.703","3.788","3.686","124.16K","2.86%"
"Jul 20, 2021","3.876","3.772","3.934","3.740","118.40K","2.57%"
"Jul 21, 2021","3.959","3.927","3.965","3.891","111.93K","2.14%"
"Jul 22, 2021","4.003","3.922","4.006","3.876","102.16K","1.11%"
"Jul 23, 2021","4.060","3.996","4.071","3.976","73.87K","1.42%"
"Jul 26, 2021","4.102","4.025","4.187","4.010","49.42K","1.03%"
"Jul 27, 2021","3.971","4.095","4.114","3.934","46.96K","-3.19%"
"Jul 28, 2021","4.044","3.947","4.064","3.874","3.88K","1.84%"
"Jul 29, 2021","4.059","3.941","4.097","3.927","118.45K","0.37%"
"Jul 30, 2021","3.914","4.051","4.055","3.855","161.87K","-3.57%"
"Aug 02, 2021","3.935","3.973","4.042","3.928","110.95K","0.54%"
"Aug 03, 2021","4.027","3.959","4.077","3.915","120.86K","2.34%"
"Aug 04, 2021","4.158","4.066","4.205","4.056","142.59K","3.25%"
"Aug 05, 2021","4.140","4.152","4.205","4.116","125.23K","-0.43%"
"Aug 06, 2021","4.140","4.159","4.191","4.098","153.15K","0.00%"
"Aug 09, 2021","4.060","4.168","4.185","4.002","180.00K","-1.93%"
"Aug 10, 2021","4.089","4.039","4.126","4.016","157.51K","0.71%"
"Aug 11, 2021","4.059","4.110","4.129","3.979","161.90K","-0.73%"
"Aug 12, 2021","3.933","4.057","4.067","3.900","186.99K","-3.10%"
"Aug 13, 2021","3.861","3.915","3.953","3.846","123.01K","-1.83%"
"Aug 16, 2021","3.946","3.846","3.988","3.817","101.67K","2.20%"
"Aug 17, 2021","3.837","3.938","3.954","3.803","131.22K","-2.76%"
"Aug 18, 2021","3.852","3.826","3.875","3.789","95.51K","0.39%"
"Aug 19, 2021","3.830","3.826","3.881","3.734","121.76K","-0.57%"
"Aug 20, 2021","3.851","3.863","3.951","3.833","108.52K","0.55%"
"Aug 23, 2021","3.945","3.862","3.953","3.838","85.50K","2.44%"
"Aug 24, 2021","3.896","3.929","3.970","3.884","57.63K","-1.24%"
"Aug 25, 2021","3.897","3.900","3.991","3.858","39.37K","0.03%"
"Aug 26, 2021","4.184","3.917","4.217","3.896","76.86K","7.36%"
"Aug 27, 2021","4.370","4.202","4.397","4.197","4.28K","4.45%"
"Aug 30, 2021","4.305","4.499","4.526","4.222","167.10K","-1.49%"
"Aug 31, 2021","4.377","4.312","4.417","4.215","147.42K","1.67%"
"Sep 01, 2021","4.615","4.403","4.706","4.378","241.16K","5.44%"
"Sep 02, 2021","4.641","4.639","4.727","4.577","176.85K","0.56%"
"Sep 03, 2021","4.712","4.627","4.718","4.586","110.95K","1.53%"
"Sep 05, 2021","4.724","4.727","4.742","4.715","-","0.25%"
"Sep 06, 2021","4.693","4.724","4.774","4.668","-","-0.66%"
"Sep 07, 2021","4.568","4.710","4.774","4.557","163.66K","-2.66%"
"Sep 08, 2021","4.914","4.598","5.010","4.585","244.74K","7.57%"
"Sep 09, 2021","5.031","4.917","5.047","4.820","234.85K","2.38%"
"Sep 10, 2021","4.938","5.002","5.058","4.913","151.04K","-1.85%"
"Sep 13, 2021","5.231","4.945","5.289","4.879","201.77K","5.93%"
"Sep 14, 2021","5.260","5.199","5.369","5.171","200.94K","0.55%"
"Sep 15, 2021","5.460","5.280","5.650","5.266","279.12K","3.80%"
"Sep 16, 2021","5.335","5.410","5.600","5.228","221.14K","-2.29%"
"Sep 17, 2021","5.105","5.270","5.394","5.044","164.58K","-4.31%"
"Sep 20, 2021","4.985","5.015","5.172","4.905","156.87K","-2.35%"
"Sep 21, 2021","4.805","4.962","5.046","4.735","163.10K","-3.61%"
"Sep 22, 2021","4.805","4.811","4.898","4.744","108.78K","0.00%"
"Sep 23, 2021","4.976","4.758","5.037","4.741","105.20K","3.56%"
"Sep 24, 2021","5.140","5.036","5.183","4.990","47.44K","3.30%"
"Sep 27, 2021","5.706","5.191","5.851","5.176","63.07K","11.01%"
"Sep 28, 2021","5.841","5.800","6.280","5.602","5.66K","2.37%"
"Sep 29, 2021","5.477","5.857","5.955","5.421","226.34K","-6.23%"
"Sep 30, 2021","5.867","5.457","5.994","5.341","243.24K","7.12%"
"Oct 01, 2021","5.619","5.975","6.010","5.533","178.94K","-4.23%"
"Oct 04, 2021","5.766","5.628","6.064","5.628","209.58K","2.62%"
"Oct 05, 2021","6.312","5.830","6.392","5.790","219.52K","9.47%"
"Oct 06, 2021","5.675","6.321","6.466","5.663","274.65K","-10.09%"
"Oct 07, 2021","5.677","5.710","5.835","5.393","239.50K","0.04%"
"Oct 08, 2021","5.565","5.761","5.876","5.548","163.35K","-1.97%"
"Oct 11, 2021","5.345","5.695","5.799","5.308","188.70K","-3.95%"
"Oct 12, 2021","5.505","5.408","5.523","5.168","215.45K","2.99%"
"Oct 13, 2021","5.590","5.456","5.693","5.350","198.79K","1.54%"
"Oct 14, 2021","5.687","5.676","5.964","5.604","169.16K","1.74%"
"Oct 15, 2021","5.410","5.641","5.789","5.400","184.58K","-4.87%"
"Oct 18, 2021","4.989","5.299","5.370","4.955","167.90K","-7.78%"
"Oct 19, 2021","5.088","4.985","5.100","4.825","152.73K","1.98%"
"Oct 20, 2021","5.170","5.066","5.221","4.912","140.03K","1.61%"
"Oct 21, 2021","5.115","5.151","5.227","5.006","107.71K","-1.06%"
"Oct 22, 2021","5.280","5.196","5.379","5.121","74.37K","3.23%"
"Oct 25, 2021","5.898","5.468","6.008","5.462","50.88K","11.70%"
"Oct 26, 2021","5.882","5.959","6.091","5.595","50.71K","-0.27%"
"Oct 27, 2021","6.202","5.858","6.291","5.770","5.78K","5.44%"
"Oct 28, 2021","5.782","6.138","6.206","5.713","165.63K","-6.77%"
"Oct 29, 2021","5.426","5.732","5.837","5.401","154.41K","-6.16%"
"Nov 01, 2021","5.186","5.310","5.497","5.116","163.26K","-4.42%"
"Nov 02, 2021","5.542","5.220","5.565","5.206","153.76K","6.86%"
"Nov 03, 2021","5.670","5.553","5.865","5.465","141.50K","2.31%"
"Nov 04, 2021","5.716","5.860","5.876","5.535","147.04K","0.81%"
"Nov 05, 2021","5.516","5.670","5.760","5.501","133.34K","-3.50%"
"Nov 08, 2021","5.427","5.605","5.663","5.380","154.22K","-1.61%"
"Nov 09, 2021","4.979","5.410","5.467","4.910","202.74K","-8.26%"
"Nov 10, 2021","4.880","4.962","5.046","4.725","170.39K","-1.99%"
"Nov 11, 2021","5.149","4.917","5.176","4.889","135.95K","5.51%"
"Nov 12, 2021","4.791","5.129","5.141","4.752","137.10K","-6.95%"
"Nov 15, 2021","5.017","4.903","5.065","4.713","117.67K","4.72%"
"Nov 16, 2021","5.177","5.058","5.394","5.024","141.14K","3.19%"
"Nov 17, 2021","4.816","5.159","5.165","4.800","145.61K","-6.97%"
"Nov 18, 2021","4.902","4.896","5.032","4.830","111.03K","1.79%"
"Nov 19, 2021","5.065","4.895","5.156","4.838","110.06K","3.33%"
"Nov 22, 2021","4.789","4.910","4.957","4.648","96.19K","-5.45%"
"Nov 23, 2021","4.967","4.796","5.082","4.757","47.43K","3.72%"
"Nov 24, 2021","5.068","4.992","5.150","4.880","40.86K","2.03%"
"Nov 25, 2021","5.087","5.089","5.136","5.029","-","0.37%"
"Nov 26, 2021","5.447","5.025","5.562","4.983","6.26K","7.08%"
"Nov 29, 2021","4.854","5.199","5.200","4.818","172.47K","-10.89%"
"Nov 30, 2021","4.567","4.873","4.900","4.482","171.82K","-5.91%"
"Dec 01, 2021","4.258","4.606","4.664","4.220","171.94K","-6.77%"
"Dec 02, 2021","4.056","4.265","4.335","4.042","145.51K","-4.74%"
"Dec 03, 2021","4.132","4.105","4.285","4.066","124.77K","1.87%"
"Dec 06, 2021","3.657","3.826","3.886","3.630","176.72K","-11.50%"
"Dec 07, 2021","3.708","3.680","3.829","3.657","162.97K","1.39%"
"Dec 08, 2021","3.815","3.734","3.931","3.723","146.87K","2.89%"
"Dec 09, 2021","3.814","3.818","3.924","3.725","141.11K","-0.03%"
"Dec 10, 2021","3.925","3.798","3.965","3.760","133.28K","2.91%"
